line	original_marker	reconciled_disposition	title
1978	✓	Completed	**BOOT-XPA8-4: migrate the robust mount loop onto existing fleet units.** The RestartSec + ordering migration ships in the RPM post_install, but the ExecStart-loop rewrite is fragile to sed in-place; the clean fix is to move the mount logic into a shipped `/usr/libexec/mackesd/qnm-mount` script the unit just calls (so every RPM upgrade updates the logic). Until then, existing nodes get the robust loop on a `setup-qnm-shared.sh` re-run. **Acceptance:** every node's qnm-shared mount self-heals on reboot without a manual mount.
1982	✓	Completed	**SUBSTRATE-1: etcd cluster provisioning.** **As** an operator, **I want** an overlay-bound etcd cluster on the anchor nodes, **so that** coordination has a strongly-consistent home off the filesystem. **Acceptance:** `setup-etcd.sh` + `etcd.service` stand up a member on every server/lighthouse node (peer :2380 / client :2379 on the Nebula IP), bootstrapped from the anchor directory; workstations get client endpoints; `etcdctl member list` shows the quorum; survives one anchor loss.
1984	✓	Completed	**SUBSTRATE-2: leader election via etcd.** **As** mackesd, **I want** leadership held as an etcd lease/election, **so that** the leader is correct + drift-free without a lockfile. **Acceptance:** `leader.rs`/`leader_election.rs` use the etcd election API (60s lease); exactly one leader across nodes; `force_take` bumps the epoch; `.mackesd-leader.lock` retired; the multi-node test passes against etcd.
1987	✓	Completed	**SUBSTRATE-3: peer directory on etcd.** **As** the mesh, **I want** the peer registry in etcd, **so that** the directory is live regardless of any mount. **Acceptance:** the heartbeat writes `/mesh/peers/<host>` (PeerRecord) under a ~90s keepalive lease; `read_peers`→etcd range; `action/mesh/directory` returns the live set with its existing shape; a dead node's record vanishes on lease expiry.
1989	✓	Completed	**SUBSTRATE-4: health from the lease.** **As** the health reconciler, **I want** liveness to be the etcd lease, **so that** "online" is authoritative. **Acceptance:** health_reconciler + `action/shell/healthz` read etcd; node_count/is_leader correct; no `last_seen_ms` staleness guess.
1991	✓	Completed	**SUBSTRATE-5: Syncthing file plane.** **As** a user, **I want** the mesh share synced by Syncthing, **so that** files replicate without a fragile FUSE mount. **Acceptance:** `setup-syncthing.sh` + `syncthing.service` (overlay-only, discovery off, static device IDs from the etcd `/mesh/syncthing/<host>` registry) share `/mnt/mesh-storage` full-mesh with trash-can versioning; a file on A appears on B; `/mnt/mesh-storage` is a plain dir (not in `/proc/mounts` as FUSE).
1994	✓	Completed	**SUBSTRATE-6: remove LizardFS.** **As** the platform, **I want** LizardFS gone, **so that** the SPOF/FUSE-2/stagnant-fork risk is eliminated. **Acceptance:** `qnm-shared.service`, the `mfsmount` loop, the `20-qnm.conf` drop-in, the BIRTHRIGHT LizardFS fetch, the bundled F43 `lizardfs-client` RPM, the `fuse-libs`/`fuse` Requires, `lizardfs-adm`, and the ONBOARD-6 mount-poison guard are all removed; a fresh install carries no LizardFS.
1996	✓	Completed	**SUBSTRATE-7: boot ordering.** **As** a node, **I want** mackesd gated on etcd not a mount, **so that** a file-sync hiccup never stalls the mesh. **Acceptance:** `etcd.service After=nebula`; `mackesd After=etcd` (Wants+retry); no mount in mackesd's ordering; a reboot with Syncthing slow/down still brings the mesh fully up in seconds.
1998	✓	Completed	**SUBSTRATE-8: switch direct-FS panel readers.** **As** the GUI, **I want** the few direct-FS readers to use the RPC/etcd, **so that** no panel reads a retired path. **Acceptance:** `lighthouses.rs`, `service_publishing.rs`, `mesh_control.rs` (leader), `mde-notify-center.rs` read via `action/mesh/*`/etcd; no `read_peers`/`.mackesd-leader.lock` direct reads remain; panels render unchanged.
2000	✓	Completed	**SUBSTRATE-9: status outputs on etcd.** **As** the shell/applet, **I want** the snapshot fed from etcd, **so that** status reflects the new substrate. **Acceptance:** `mesh-status-snapshot.sh` reads peers+leader from etcd (via mackesd/etcdctl) not the FS glob/lock; `mesh-welcome.py`/bell-applet/apps-applet unchanged (consume the snapshot); the apps-applet usage label reads "Mesh Sync".
2002	✓	Completed	**SUBSTRATE-10: alerts on the new substrate.** **As** an operator, **I want** leader/peer/substrate alerts from etcd+Syncthing, **so that** I see real faults. **Acceptance:** NO-LEADER/leader-change/peer-down sourced from etcd watches; "QNM-Shared not mounted" replaced by "etcd unreachable" + "Syncthing out of sync"; alerts fire on a real fault injection. — ETCD-WATCH WORKER LANDED (2026-06-25, cherry-pick de78a14/orig 667ce55): `substrate/etcd.rs` `watch()` + a new `etcd_watch` worker opens `/mesh/peers/` + `/mesh/leader` watch streams and PUSHES instant peer-down / leader-change alerts onto the existing `alert_relay` lane (no poll); spawned rank-0 in `bin/mackesd.rs`, degrades cleanly off etcd per §2. Farm build/test (1956, +5 new)+clippy green; integrated-tip workspace build green on .130. **REMAINS [>]:** the live "alerts fire on a real fault injection" verify (a live multi-node etcd injection) + the "Syncthing out of sync" alert source.
2005	✓	Completed	**SUBSTRATE-11: watchdog + lint + tests.** **As** the platform, **I want** the guards updated, **so that** the new substrate is enforced + tested. **Acceptance:** `mesh-health-check.sh` checks etcd quorum + Syncthing (not `mountpoint`); `lint-shared-substrate.sh` asserts the etcd readiness guard + the etcd multi-node test; `mesh_shared_state.rs` uses an etcd testcontainer (leader + peer-visibility); `cargo test --workspace` green.
2007	✓	Completed	**SUBSTRATE-12: rename QNM-Shared → Mesh Sync.** **As** a user, **I want** the share called "Mesh Sync", **so that** the name matches the backend. **Acceptance:** UI strings (Mesh Storage panel, apps-applet usage bar, welcome banner), docs, and help reflect "Mesh Sync (MCNF-Sync)"; the `/mnt/mesh-storage` path + `MDE_WORKGROUP_ROOT` env stay for back-compat.
2010	✓	Completed	**SUBSTRATE-13: governance + substrate-lock update.** **As** the rulebook, **I want** §1–§3 to lock etcd+Syncthing, **so that** the audit enforces the new substrate. **Acceptance:** `AI_GOVERNANCE.md` replaces the LizardFS lock with "etcd (coordination) + Syncthing (files) over Nebula; LizardFS/MooseFS/Gluster/Ceph retired/forbidden"; the audit skill's substrate checks updated.
2012	✓	Completed	**SUBSTRATE-14: VM-bed rehearsal + fleet cutover.** **As** the operator, **I want** the big-bang rehearsed before the fleet, **so that** the cutover is safe. **Acceptance:** the full stack (etcd+Syncthing, no LizardFS) is brought up on the VM bed + a reboot/disconnect drill passes; a one-release rollback RPM exists; then the fleet cuts over at the version. *(hygiene 2026-06-23: shipped + merged to master this session)*
2018	✓	Completed	**VPN-GW-1: tunnel engine (`vpn_gateway` worker) + WireGuard/OpenVPN baseline.** **As** an operator, **I want** a node to bring up named VPN tunnels from configs, **so that** it can egress through a provider. **Acceptance:** the worker creates/destroys named tunnels (`mvpn-<id>`) via `wg-quick` (WG configs) + `openvpn` (.ovpn); a node runs ≥2 concurrent tunnels (incl. same provider twice where allowed); `action/vpn/{list,add,remove,tunnel-up/down,tunnel-status}` work; tunnel state survives a daemon restart.
2021	✓	Completed	**VPN-GW-2: encrypted, leader-managed tunnel secrets.** **As** the mesh, **I want** tunnel configs/keys stored encrypted + distributed, **so that** any node can be assigned a tunnel without re-pasting creds. **Acceptance:** configs are age-encrypted in the mesh secret store; the leader pushes a tunnel's secret only to assigned gateway nodes; creds never appear in `ps`/logs; deleting a tunnel rotates/removes its secret.
2022	✓	Completed	**VPN-GW-3: selective egress (policy-routing + NAT + kill-switch).** **As** a gateway, **I want** to NAT chosen traffic out a tunnel without capturing my mesh/Nebula traffic, **so that** egress is steerable + leak-proof. **Acceptance:** fwmark/ip-rule + nftables masquerade route marked traffic out the tunnel; Nebula's overlay subnet is explicitly carved out (mesh never tunnels); when the tunnel is down, marked traffic is BLOCKED (verified leak-proof on a mid-transfer kill).
2023	✓	Completed	**VPN-GW-4: mesh egress routing (per-node / group / ANY) + failover chain.** **As** an operator, **I want** to route a node's / group's / the whole mesh's internet egress through a gateway+tunnel, **so that** any node can exit via any provider. **Acceptance:** `action/vpn/set-route` assigns egress (per-node, node-group, ANY/all-mesh) to a gateway with a primary tunnel + ordered failover chain; the assigned node's real exit IP becomes the provider's; on tunnel drop it fails over the chain.
2024	✓	Completed	**VPN-GW-5: provider integrations (5 named + generic).** **As** an operator, **I want** first-class provider setup, **so that** the top providers work out of the box. **Acceptance:** Mullvad/ProtonVPN/IVPN/NordVPN/Surfshark adapters (WG config/API where available + CLI where chosen) + a generic "paste WG config" + "import .ovpn" path; each can stand up a verified tunnel (exit-IP check passes). *(hygiene 2026-06-23: shipped + merged to master this session)*
2025	✓	Completed	**VPN-GW-6: health + exit-IP/leak verification + auto-failover + alerts.** **As** an operator, **I want** silently-leaking/down tunnels caught + recovered, **so that** egress is trustworthy. **Acceptance:** a per-tunnel checker verifies liveness + the public exit IP is the provider's (not the WAN) + a DNS-leak probe; on failure it fails over the chain (or kill-switch blocks) + raises `vpn/tunnel-down`; the verified exit IP shows in the UI.
2026	✓	Completed	**VPN-GW-7: VPN panel — tunnel cards + add-tunnel wizard.** **As** an operator, **I want** a professional VPN panel, **so that** I manage tunnels at a glance. **Acceptance:** `panels/vpn.rs` shows per-tunnel cards (provider, server/region, protocol, live exit-IP + status + throughput, kill-switch toggle, up/down/edit) + an add-tunnel wizard (provider→method→config/auth→server→multi-instance name→verify→save-encrypted); Carbon tokens only; all data real over the RPCs.
2027	✓	Completed	**VPN-GW-8: Routing panel — egress matrix + topology map + assign-route wizard.** **As** an operator, **I want** to see + assign who exits where, **so that** routing is clear + controllable. **Acceptance:** the Routing panel gains an egress matrix (nodes/groups → gateway+tunnel with failover chain + kill-switch per route), a topology/route map (mesh→gateways→provider exits, click-to-assign), an assign-route wizard, and a live "who exits where" summary (each node's current exit IP/provider); all over the RPCs, Carbon tokens. — DONE (all inside `panels/routing.rs`, reusing the durable `action/vpn/list-routes` egress-routing table READ-ONLY): the egress matrix (one row per real roster node → its effective gateway+primary+failover+kill-switch, resolving Node/Group/ANY specificity), the route topology map (mesh→gateways→exits on the reused `PathGraphProgram` canvas), and the assign-route wizard emitting a real `EgressRoute` over `action/vpn/set-route` (§7, no stub; live-verify re-reads the table after). Build + clippy + tests GREEN on the farm. Descoped (would need an app.rs/types touch, kept disjoint): per-route live exit-IP/provider in the matrix (`verify-egress` is per-tunnel + would couple to the VPN panel), and canvas click-to-assign hit-testing (the wizard covers assignment).
2031	✓	Completed	**BUS-RETENTION-1: bounded bus storage (age + size caps with compaction).** **As** a mesh node, **I want** the bus to cap its on-disk footprint, **so that** `/run` never fills and breaks the node. **Acceptance:** the bus prunes channel payloads + the audit log past a configurable age/size budget (default well under a typical `/run` tmpfs, e.g. ≤128 MiB total); `index.sqlite` is periodically VACUUMed/checkpointed so the WAL + DB don't grow without bound; pruning never strands a live consumer inode (honor the [[BUS-INODE-ORPHAN]] ordering — copy-truncate / tombstone, not unlink-recreate); a soak test shows steady-state size flat under sustained traffic.
2035	✓	Completed	**BUS-RETENTION-2: `/run` headroom guard + alert.** **As** an operator, **I want** to be warned before `/run` fills, **so that** a node never silently wedges its package manager / runtime locks. **Acceptance:** mackesd watches `/run` (and the bus dir) free space and raises a `bus/run-low` alert at a threshold (e.g. <15% free); the health check (`mesh-health-check.sh`) flags a near-full `/run`; on the alert the bus triggers an early compaction pass. Surfaces in the Notification Hub.
2042	✓	Completed	**DDNS-EGRESS-1: `ddns` worker + IP-change detection (VPN exit + WAN).** **As** a node, **I want** to detect when my VPN exit IP or WAN IP changes, **so that** DNS can follow it. **Acceptance:** a `mackesd` `ddns` worker subscribes to VPN-GW exit-IP changes (reusing the VPN-GW-6 verified exit IP) and runs a WAN-IP check; it diffs the last-published value per record and only fires on a real change; per-provider hooks (Mullvad/Proton/IVPN/Nord/Surfshark) supply the assigned IP + forwarded port where the API exposes them.
2044	✓	Completed	**DDNS-EGRESS-2: DigitalOcean DNS writer (adapter trait) + encrypted token.** **As** the mesh, **I want** to upsert records via the DO API, **so that** `services.matthewmackes.com` tracks the live IP. **Acceptance:** a `DnsWriter` trait with a DigitalOcean impl upserts/removes A/AAAA records under the zone with a configurable short TTL; the DO API token is an age-encrypted, leader-distributed mesh secret (never in `ps`/logs); a bad/expired token raises a clear `ddns/auth` alert, not a silent no-op (§7).
2046	✓	Completed	**DDNS-EGRESS-3: config block + auto-population from VPN-GW.** **As** an operator, **I want** a DDNS config setting that auto-creates records for tunnels, **so that** assigning a VPN IP yields a subdomain with zero extra steps. **Acceptance:** a `[ddns]` TOML block (enabled/provider/zone/token_ref/ttl + `[[ddns.record]]` name-template/source/on_down) drives the worker; creating a VPN-GW tunnel/route auto-adds a templated record entry; a `source="wan"` entry publishes the raw WAN IP; CLI parity via the RPCs (§9 W27).
2047	✓	Completed	**DDNS-EGRESS-4: reconnect rewrite + on-down policy (no stale/leaking record).** **As** an operator, **I want** records to follow reconnects and not point at a dead exit, **so that** names stay correct + safe. **Acceptance:** on reconnect-with-new-IP the record is rewritten within ~TTL; on tunnel-down the record follows `on_down` (remove | sentinel | keep) tied to the VPN-GW kill-switch state; a name whose tunnel can't accept inbound is flagged "port-forward only" while still publishing the identity record.
2048	✓	Completed	**DDNS-EGRESS-5: UI — DDNS table in the VPN/Routing panel + per-tunnel "published as".** **As** an operator, **I want** to see + manage published names, **so that** DDNS is observable + controllable. **Acceptance:** the VPN/Routing panel gains a DDNS table (hostname · source tunnel/WAN · current IP · last-updated · TTL · status synced/stale/error) with add/edit/remove + "Sync now"; each VPN tunnel card shows its "published as <hostname>" line + whether it currently resolves to the exit IP; all real over `action/ddns/*`, Carbon tokens only (§4). — DONE (2026-06-25, cherry-pick 2c34319/orig eee4c54): a records table (hostname · source · current-IP · reachability · TTL · status + add/edit/remove + Sync-now) on the Routing panel + a "published as <hostname>" line on each VPN tunnel card, all real over `action/ddns/*` + verify-egress via the typed Bus client; Carbon tokens, 17 new tests. Farm build/test/clippy green; integrated-tip workspace build green on .130.
2052	✓	Completed	**ROUTE-TRACE-1: path model builder (`action/route/trace` → PathGraph).** **As** an operator, **I want** the platform to assemble the logical path between two endpoints, **so that** I can see every segment it crosses. **Acceptance:** `action/route/trace {from,to,direction}` returns a typed PathGraph (nodes: host/VM/container, overlay peers, gateway, VPN exit, ingress, internet, service; edges with layer + transport) built from real state — compute/service inventory (hosting node), `routing.rs`/netstate (overlay direct vs relay), VPN-GW (gateway+tunnel+exit), the CONNECT ingress mapping; no placeholders (§7); CLI parity.
2055	✓	Completed	**ROUTE-TRACE-2: control-point evaluation (firewall/kill-switch verdicts per segment).** **As** an operator, **I want** each segment's allow/block decision + the matching rule, **so that** I can see why a flow does/doesn't reach a service. **Acceptance:** each edge crossing a control point (Nebula firewall, nftables/firewalld, VPN kill-switch) carries a real Allow/Block verdict + the matching rule from evaluating the actual rule sets in order; the first denying point sets `blocked_at`; statically-unresolvable host firewalld is marked "indeterminate", never guessed.
2057	✓	Completed	**ROUTE-TRACE-3: live overlay + public measurement (best-effort).** **As** an operator, **I want** real latency + hops where measurable, **so that** the path reflects reality, not just the model. **Acceptance:** per-overlay-link RTT/loss from the existing path classifier/netstate populate overlay edges; real public hops/RTT via a typed `traceroute`/`mtr` verb run from the source (egress) / ingress node (ingress) beyond the exit; unmeasurable segments degrade to the modeled hop with no error/panic (§2). *(hygiene 2026-06-23: shipped + merged to master this session)*
2058	✓	Completed	**ROUTE-TRACE-4: Routing-panel topology trace view (egress/ingress toggle).** **As** an operator, **I want** to pick a source + a published service + a direction and see the path, **so that** connectivity is visible at a glance. **Acceptance:** `panels/routing.rs` gains a trace toolbar (source node + destination service/host + Egress/Ingress toggle + Trace) and a topology graph with the active path highlighted, node glyphs by kind, edge layer-color (Host/Mesh/Vpn/Public) + RTT/loss labels; the direction toggle switches egress↔ingress for the same endpoints; Carbon tokens only (§4), reuses the VPN-GW topology-map primitives. *(hygiene 2026-06-23: shipped + merged to master this session)*
2059	✓	Completed	**ROUTE-TRACE-5: per-hop firewall badge + detail panel (all five concepts surfaced).** **As** an operator, **I want** inline verdicts + a drill-down per hop, **so that** I see hosting, mesh, VPN, firewall, and DNS in one place. **Acceptance:** each control edge shows an inline allow/block badge; a blocked path renders the failing edge red + a "blocked at <point> by <rule>" banner; selecting any node/edge opens a detail panel showing the segment's endpoints, transport (direct/relay/tunnel/public), RTT/loss, the full firewall rule chain + verdict, and the DDNS name resolved at that hop — Hosting & VMs, Mesh, VPN egress/ingress, Firewalls & Control, and Dynamic DNS each present; all over `action/route/trace`.
2063	✓	Completed	**CONNECT-1: exposure policy model + state + `action/connect/*` RPCs.** **As** an operator, **I want** a per-service exposure policy with reusable templates, **so that** connectivity is declared in one place. **Acceptance:** per-service records (source node+kind host/VM/container+port/proto, tier mesh-only|public-via-ingress, ingress lighthouse+DDNS hostname, mode http|tcp|udp, optional template) persist as TOML on the shared substrate; `action/connect/{list-services,set-policy,expose,unexpose,list-templates,set-template}` work over the bus with CLI parity; group templates apply a policy to many services.
2065	✓	Completed	**CONNECT-2: service discovery (candidates) + opt-in to expose.** **As** an operator, **I want** the platform to surface exposable services, **so that** I don't hand-enumerate them. **Acceptance:** candidates are auto-discovered from compute_registry (virsh/podman) + a listening-port scan + PD-2 descriptors, tagged by source node + kind (host/VM/container); discovery never exposes anything on its own; an opt-in marks a candidate exposable; the candidate list is fleet-wide.
2067	!	Blocked	**CONNECT-3: managed firewalld enforcement worker (public-deny baseline, drift-corrected).** **As** the mesh, **I want** the public boundary enforced everywhere, **so that** only the foundational layer + SSH face the internet. **Acceptance:** a worker reconciles a firewalld profile on every node — public zone denies all inbound except Nebula/4242 + SSH/22 + enroll/4243 (+ Caddy ingress ports on lighthouses only); overlay stays in the trusted zone (open-mesh, §8); drift is corrected on a tick + surfaces an alert; the reconcile is additive + reachability-verified so it never locks out SSH/Nebula. _(BLOCKED: code-complete + unit-tested; only live-lighthouse end-to-end verification remains, gated on a live node / the down build-farm VM — see NEEDS-OPERATOR.md)_
2071	✓	Completed	**CONNECT-4: Caddy public ingress on lighthouses (HTTP/HTTPS auto-TLS, rendered from policy).** **As** an operator, **I want** a web service reachable at its public hostname, **so that** the mesh can present services to the public. **Acceptance:** Caddy is installed/managed on the ingress lighthouse; its config is rendered from the exposure policy (`https://<ddns-hostname> → <service overlay IP>:<port>`) with automatic Let's Encrypt TLS for the DDNS name; public→lighthouse→overlay→service works end-to-end; the service binds no public interface itself.
2075	✓	Completed	**CONNECT-5: raw TCP/UDP stream ingress (allowlisted port-forward).** **As** an operator, **I want** non-HTTP services exposable too, **so that** any service can be published. **Acceptance:** a `tcp`/`udp`-mode service renders a Caddy layer4/stream block (allowlisted public port → service overlay IP:port) + the matching firewalld opening on the ingress lighthouse only; the stream reaches the service over the overlay; unexpose removes both.
2078	✓	Completed	**CONNECT-6: Connectivity Manager UI — exposure matrix (folds in firewall/routing/service-publishing).** **As** an operator, **I want** one connectivity surface, **so that** I see + control all exposure at a glance. **Acceptance:** a Workbench surface shows the exposure matrix (services × tier/ingress, with source node+kind + status mesh-only/public@hostname/blocked) and folds in the existing firewall.rs/routing.rs/service_publishing.rs/connect.rs views (no parallel panel, §6); a public-no-auth service is visibly flagged; Carbon tokens only (§4); all data over `action/connect/*`. — `panels/connectivity.rs` (Network → "Connectivity"): the exposure matrix (id · source node·kind · port/proto · tier pill mesh-only[accent]/public[warning] · ingress hostname via lighthouse(mode)) + a discovered-candidates section (this node's listening ports, configured/available); reads `action/connect/list-services` + `list-candidates` via `dbus::action_request` in `spawn_blocking`; 9 tests (envelope decode, error/empty/garbage, view + update summary). Wired in app.rs (6 sites) + model.rs nav. The Expose/Unexpose mutation action is CONNECT-7's wizard.
2079	✓	Completed	**CONNECT-7: Expose wizard (one action wires proxy + firewall + DNS).** **As** an operator, **I want** a guided expose flow, **so that** publishing a service is one clear method. **Acceptance:** the wizard goes service → tier → (if public) ingress lighthouse + DDNS hostname + protocol mode → previews the rendered Caddy site/stream + firewalld allow + DDNS record → applies all three atomically; an Unexpose reverses all three; the wizard warns when the chosen service has no/weak auth (lock #12 caveat). — Folded into the Connectivity panel (§6, one surface): an "Expose a service" form (id · source node/port/kind · tier pick_list → on public: ingress lighthouse + hostname + mode pick_list) with a live `expose_preview` describing the rendered Caddy auto-HTTPS site / firewalld stream-forward / overlay reach + the "no ingress auth" lock-#12 caveat; Apply does `set-policy` then (if public) `expose` over `action/connect/*` — writing the policy is the single durable action, the `connect_firewall` worker reconciles Caddy+firewalld from it. Per-row Expose buttons (candidates + mesh-only rows) prefill the form; per-row Unexpose buttons on public rows revert to mesh-only. 13 wizard tests (validation, prefill, preview shapes, apply/error state). NOTE: the auto-create of the DDNS public name is CONNECT-9 (blocked on DDNS-EGRESS not yet built) — the wizard takes the hostname as operator input today.
2080	✓	Completed	**CONNECT-8: group/template policies applied across many services/nodes.** **As** an operator, **I want** reusable exposure templates, **so that** I don't repeat per-service config. **Acceptance:** a template (tier+mode+ingress pattern) can be created + applied to a set of services/nodes (e.g. "all web-apps → public-via-ingress, http, Lighthouse-01"); applying/editing a template updates every bound service's rendered outputs; templates are visible in the matrix.
2081	✓	Completed	**CONNECT-9: integration with DDNS-EGRESS + ROUTE-TRACE.** **As** an operator, **I want** exposure to wire naming + visualization automatically, **so that** the stack is coherent. **Acceptance:** exposing a service auto-creates/updates its DDNS public name (via DDNS-EGRESS) and removes it on unexpose; the ingress path of an exposed service renders correctly in ROUTE-TRACE (public → ingress → firewall → overlay → host/VM/container) with the real Caddy/firewall verdicts. — DDNS HALF DONE (2026-06-25, cherry-pick 03222fe/orig 5ef2d71): expose now auto-creates a wan-sourced `[ddns]` record for the ingress hostname (self-naming; CONNECT-7 no longer needs operator input) and unexpose reclaims it — wired into both the live `action/connect` responder (gated to the bound lighthouse) and the `connect_firewall` per-node reconcile (bounded removal via `AppliedState.ddns_labels`, never touches operator records); reuses DDNS-EGRESS-3's config+writer path, no DNS reimplementation. Farm build/test (1957)+clippy green. **ROUTE-TRACE half ALSO VERIFIED DONE** (2026-06-25 reconcile): `route_trace.rs assemble_ingress` builds Internet→Ingress(lighthouse)→host→Service from the real ExposurePolicy with public-boundary Allow/Block verdicts; the routing panel's Ingress toggle renders the PathGraph; `ipc/route.rs build_trace_reply "ingress"` reads live firewalld (never guessed), 40+ tests. CONNECT-9 fully done.
2082	✓	Completed	**CONNECT-10: governance + public-boundary test.** **As** the project, **I want** the 3-tier posture asserted in code + docs, **so that** the public-deny guarantee can't silently regress. **Acceptance:** a test asserts default-deny on a non-ingress node (only Nebula/4242 + SSH/22 + enroll/4243 reachable publicly); AI_GOVERNANCE §1/§6 records the 3-tier public/mesh/ingress posture + the Connectivity-Manager decision without contradicting the §8 open-mesh flat-trust lock (CONNECT = public boundary only).
2088	✓	Completed	**MOTION-CORE-1: complete + un-private the motion token module (P0).** **As** a developer, **I want** one public, exhaustive motion token set, **so that** every animation is configured from `mde-theme` with no literals. **Acceptance:** durations/easings/enter-exit/hover-focus-press/loading/refresh/error-success/stagger tokens are public + each has an `mde-theme` value test; a lint greps the GUIs for motion literals (none outside `mde-theme`); reduce-motion variants resolve via `accessibility.rs`.
2090	✓	Completed	**MOTION-CORE-2: spring/curve primitives + a hard reduce-motion contract (P0).** **As** a developer, **I want** spring-like interpolation + a single `resolve(duration,a11y)`, **so that** feel is consistent + reduce-motion is guaranteed. **Acceptance:** a spring settles monotonically within tolerance (test); under reduce-motion every primitive returns terminal value ≤80 ms (test). *(deps: MOTION-CORE-1)*
2092	✓	Completed	**MOTION-CORE-3: global motion config + kill switch (P1).** **As** an operator, **I want** to disable/scale motion globally, **so that** I control the shell's feel. **Acceptance:** `[motion]` in preferences.toml (+ env override) toggles motion (off ⇒ terminal frames, zero ticks) and a speed scale measurably changes durations. *(deps: 1,2)*
2095	✓	Completed	**MOTION-INFRA-1: central Animator (one clock, registry, is_idle) (P0).** **As** a developer, **I want** a shared animation driver, **so that** N animations run off ONE subscription that stops at rest. **Acceptance:** concurrent tweens advance off a single subscription; when all settle the subscription yields nothing (no `time::every` at idle). *(deps: Epic 1)*
2097	✓	Completed	**MOTION-INFRA-2: reusable enter/exit/crossfade/hover helpers (P0).** **As** a developer, **I want** `fade_in`/`slide_in`/`crossfade`/`lift_on_hover`, **so that** surfaces animate uniformly via transform+opacity only. **Acceptance:** a panel mount fades+slides per token, reduce-motion collapses to instant/crossfade, no layout reflow during the transition. *(deps: INFRA-1)*
2098	✓	Completed	**MOTION-INFRA-3: frame-pacing + redundant-redraw avoidance + debug timing (P0).** **As** a developer, **I want** ticks only while animating + visible, **so that** idle/offscreen burns nothing. **Acceptance:** at rest zero animation ticks (measured); hidden popup animates nothing; a debug flag reports per-frame ms. *(deps: INFRA-1)* *(hygiene 2026-06-23: shipped + merged to master this session)*
2100	✓	Completed	**MOTION-FEEDBACK-1: buttons/tabs/nav/toolbar hover-focus-press (P0).** **As** a user, **I want** uniform hover-lift/press-depress/animated focus ring, **so that** controls feel alive + responsive. **Acceptance:** every interactive control shares the motion; reduce-motion keeps the state change without movement; press fires on down (no input delay). *(deps: Epic 2)*
2102	✓	Completed	**MOTION-FEEDBACK-2: cards/lists/tables selection + row state + staggered reveal (P1).** **As** a user, **I want** animated selection + capped stagger, **so that** lists feel fluid not jarring. **Acceptance:** selection animates the accent; a loaded list staggers in (≤8 cap); reduce-motion ⇒ instant. *(deps: FEEDBACK-1)*
2103	✓	Completed	**MOTION-FEEDBACK-3: menus/modals/drawers/notifications enter-exit (folds in APPS-FX-1 + NOTIFY-FX-1) (P1).** **As** a user, **I want** consistent popup/menu/Hub fade-scale, **so that** the whole shell shares one vocabulary. **Acceptance:** launcher, power menu, Hub, dialogs use the SAME enter/exit; reduce-motion ⇒ crossfade only; APPS-FX-1/NOTIFY-FX-1 are satisfied here (not duplicated). *(deps: FEEDBACK-1)*
2105	✓	Completed	**MOTION-NET-1: canonical async LoadState model (P0).** **As** a developer, **I want** one `LoadState{Idle,Loading,Refreshing{stale},Degraded,Offline,Failed,Loaded}`, **so that** every async state is distinct + consistent. **Acceptance:** all 7 states render distinctly AND are legible without motion (text/icon) for a11y. *(deps: Epic 1)*
2108	✓	Completed	**MOTION-NET-2: skeleton + shimmer placeholders (folds in MUSIC-RESPONSIVE-6) (P0).** **As** a user, **I want** layout-matching skeletons while loading, **so that** slow loads never show blank. **Acceptance:** a slow first load shows skeletons matching the eventual layout; shimmer stops on data; reduce-motion ⇒ static grey. *(deps: NET-1, Epic 2)*
2109	✓	Completed	**MOTION-NET-3: stale-while-refreshing + smooth data replacement (P1).** **As** a user, **I want** stale data kept (dimmed) with a refresh indicator then crossfaded, **so that** a refresh never blanks the view. **Acceptance:** refresh never blanks the panel; old→new crossfades; a background-refresh indicator shows. *(deps: NET-1,2)*
2111	✓	Completed	**MOTION-NET-4: optimistic updates + graceful retry (folds in MUSIC-RESPONSIVE-8) (P1).** **As** a user, **I want** actions to apply instantly + reconcile, **so that** the UI feels fast. **Acceptance:** a transport toggle flips instantly + reconciles; a failed action reverts + offers retry without losing context. *(deps: NET-1)*
2113	✓	Completed	**MOTION-NET-5: background-poll + connection-degraded indicators (P2).** **As** an operator, **I want** background work + degraded connectivity visible, **so that** I trust the shell's state. **Acceptance:** background refresh shows a non-blocking indicator; bus/mesh down shows a degraded state that auto-recovers. *(deps: NET-1)*
2115	✓	Completed	**MOTION-TRANS-1: route/panel switch transitions (P1).** **As** a user, **I want** panel/page switches to crossfade, **so that** large view changes feel intentional. **Acceptance:** panel switches crossfade; reduce-motion ⇒ instant; no input delay. *(deps: Epic 2)*
2116	✓	Completed	**MOTION-TRANS-2: panel expand/collapse + drawer + modal open/close (P2).** **As** a user, **I want** eased expanders/drawers/modals, **so that** they don't pop. **Acceptance:** each uses its token preset consistently; reduce-motion safe. *(deps: FEEDBACK-3)*
2117	✓	Completed	**MOTION-TRANS-3: list insert/remove + table refresh transitions (P2).** **As** a user, **I want** rows to reveal/collapse + tables to refresh smoothly, **so that** updates aren't abrupt. **Acceptance:** inserted rows reveal, removed rows collapse, a table refresh doesn't jump scroll. *(deps: FEEDBACK-2, NET-3)*
